Provincias;Españoles/Extranjeros;Sexo;Edad (grupos quinquenales);Año;Total
22  Huesca;TOTAL;Ambos sexos;75-79 años;2019;7.940
22  Huesca;TOTAL;Ambos sexos;80-84 años;2019;8.126
22  Huesca;TOTAL;Ambos sexos;85-89 años;2019;6.569
22  Huesca;TOTAL;Ambos sexos;90-94 años;2019;3.251
22  Huesca;TOTAL;Ambos sexos;95-99 años;2019;856
22  Huesca;TOTAL;Ambos sexos;100 años y más;2019;118
23  Jaén;TOTAL;Ambos sexos;70-74 años;2019;26.675
23  Jaén;TOTAL;Ambos sexos;75-79 años;2019;22.116
23  Jaén;TOTAL;Ambos sexos;80-84 años;2019;21.035
23  Jaén;TOTAL;Ambos sexos;85-89 años;2019;14.869
23  Jaén;TOTAL;Ambos sexos;90-94 años;2019;5.533
23  Jaén;TOTAL;Ambos sexos;95-99 años;2019;1.172
23  Jaén;TOTAL;Ambos sexos;100 años y más;2019;158
24  León;TOTAL;Ambos sexos;70-74 años;2019;25.707
24  León;TOTAL;Ambos sexos;75-79 años;2019;21.104
24  León;TOTAL;Ambos sexos;80-84 años;2019;21.222
24  León;TOTAL;Ambos sexos;85-89 años;2019;17.408
24  León;TOTAL;Ambos sexos;90-94 años;2019;8.207
24  León;TOTAL;Ambos sexos;95-99 años;2019;2.163
24  León;TOTAL;Ambos sexos;100 años y más;2019;356
25  Lleida;TOTAL;Ambos sexos;70-74 años;2019;18.993
25  Lleida;TOTAL;Ambos sexos;75-79 años;2019;13.946
25  Lleida;TOTAL;Ambos sexos;80-84 años;2019;13.090
25  Lleida;TOTAL;Ambos sexos;85-89 años;2019;10.489
25  Lleida;TOTAL;Ambos sexos;90-94 años;2019;4.807
25  Lleida;TOTAL;Ambos sexos;95-99 años;2019;1.210
25  Lleida;TOTAL;Ambos sexos;100 años y más;2019;166
27  Lugo;TOTAL;Ambos sexos;70-74 años;2019;19.597
27  Lugo;TOTAL;Ambos sexos;75-79 años;2019;17.151
27  Lugo;TOTAL;Ambos sexos;80-84 años;2019;17.017
27  Lugo;TOTAL;Ambos sexos;85-89 años;2019;13.355
27  Lugo;TOTAL;Ambos sexos;90-94 años;2019;6.299
27  Lugo;TOTAL;Ambos sexos;95-99 años;2019;1.664
27  Lugo;TOTAL;Ambos sexos;100 años y más;2019;276
28  Madrid;TOTAL;Ambos sexos;70-74 años;2019;288.864
28  Madrid;TOTAL;Ambos sexos;75-79 años;2019;210.820
28  Madrid;TOTAL;Ambos sexos;80-84 años;2019;170.462
28  Madrid;TOTAL;Ambos sexos;85-89 años;2019;122.710
28  Madrid;TOTAL;Ambos sexos;90-94 años;2019;54.970
28  Madrid;TOTAL;Ambos sexos;95-99 años;2019;14.633
28  Madrid;TOTAL;Ambos sexos;100 años y más;2019;2.248
29  Málaga;TOTAL;Ambos sexos;70-74 años;2019;76.059
29  Málaga;TOTAL;Ambos sexos;75-79 años;2019;54.021
29  Málaga;TOTAL;Ambos sexos;80-84 años;2019;39.075
29  Málaga;TOTAL;Ambos sexos;85-89 años;2019;23.543
29  Málaga;TOTAL;Ambos sexos;90-94 años;2019;8.615
29  Málaga;TOTAL;Ambos sexos;95-99 años;2019;2.068
29  Málaga;TOTAL;Ambos sexos;100 años y más;2019;625
30  Murcia;TOTAL;Ambos sexos;70-74 años;2019;57.027
30  Murcia;TOTAL;Ambos sexos;75-79 años;2019;41.454
30  Murcia;TOTAL;Ambos sexos;80-84 años;2019;35.876
30  Murcia;TOTAL;Ambos sexos;85-89 años;2019;23.525
30  Murcia;TOTAL;Ambos sexos;90-94 años;2019;9.308
30  Murcia;TOTAL;Ambos sexos;95-99 años;2019;1.907
30  Murcia;TOTAL;Ambos sexos;100 años y más;2019;218
31  Navarra;TOTAL;Ambos sexos;70-74 años;2019;30.680
31  Navarra;TOTAL;Ambos sexos;75-79 años;2019;22.818
31  Navarra;TOTAL;Ambos sexos;80-84 años;2019;18.529
31  Navarra;TOTAL;Ambos sexos;85-89 años;2019;14.237
31  Navarra;TOTAL;Ambos sexos;90-94 años;2019;6.569
31  Navarra;TOTAL;Ambos sexos;95-99 años;2019;1.788
31  Navarra;TOTAL;Ambos sexos;100 años y más;2019;244
32  Ourense;TOTAL;Ambos sexos;70-74 años;2019;20.866
32  Ourense;TOTAL;Ambos sexos;75-79 años;2019;17.641
32  Ourense;TOTAL;Ambos sexos;80-84 años;2019;16.465
32  Ourense;TOTAL;Ambos sexos;85-89 años;2019;13.071
32  Ourense;TOTAL;Ambos sexos;90-94 años;2019;5.881
32  Ourense;TOTAL;Ambos sexos;95-99 años;2019;1.713
32  Ourense;TOTAL;Ambos sexos;100 años y más;2019;347
34  Palencia;TOTAL;Ambos sexos;70-74 años;2019;8.668
34  Palencia;TOTAL;Ambos sexos;75-79 años;2019;6.847
34  Palencia;TOTAL;Ambos sexos;80-84 años;2019;6.147
34  Palencia;TOTAL;Ambos sexos;85-89 años;2019;5.337
34  Palencia;TOTAL;Ambos sexos;90-94 años;2019;2.656
34  Palencia;TOTAL;Ambos sexos;95-99 años;2019;738
34  Palencia;TOTAL;Ambos sexos;100 años y más;2019;94
35  Palmas, Las;TOTAL;Ambos sexos;70-74 años;2019;42.549
35  Palmas, Las;TOTAL;Ambos sexos;75-79 años;2019;29.917
35  Palmas, Las;TOTAL;Ambos sexos;80-84 años;2019;22.218
35  Palmas, Las;TOTAL;Ambos sexos;85-89 años;2019;13.913
35  Palmas, Las;TOTAL;Ambos sexos;90-94 años;2019;4.933
35  Palmas, Las;TOTAL;Ambos sexos;95-99 años;2019;1.180
35  Palmas, Las;TOTAL;Ambos sexos;100 años y más;2019;264
36  Pontevedra;TOTAL;Ambos sexos;70-74 años;2019;51.723
36  Pontevedra;TOTAL;Ambos sexos;75-79 años;2019;37.211
36  Pontevedra;TOTAL;Ambos sexos;80-84 años;2019;32.361
36  Pontevedra;TOTAL;Ambos sexos;85-89 años;2019;23.129
36  Pontevedra;TOTAL;Ambos sexos;90-94 años;2019;9.570
36  Pontevedra;TOTAL;Ambos sexos;95-99 años;2019;2.630
36  Pontevedra;TOTAL;Ambos sexos;100 años y más;2019;571
26  Rioja, La;TOTAL;Ambos sexos;70-74 años;2019;15.141
26  Rioja, La;TOTAL;Ambos sexos;75-79 años;2019;11.749
26  Rioja, La;TOTAL;Ambos sexos;80-84 años;2019;9.910
26  Rioja, La;TOTAL;Ambos sexos;85-89 años;2019;7.943
26  Rioja, La;TOTAL;Ambos sexos;90-94 años;2019;3.681
26  Rioja, La;TOTAL;Ambos sexos;95-99 años;2019;1.016
26  Rioja, La;TOTAL;Ambos sexos;100 años y más;2019;105
37  Salamanca;TOTAL;Ambos sexos;70-74 años;2019;18.511
37  Salamanca;TOTAL;Ambos sexos;75-79 años;2019;15.635
37  Salamanca;TOTAL;Ambos sexos;80-84 años;2019;14.602
37  Salamanca;TOTAL;Ambos sexos;85-89 años;2019;11.758
37  Salamanca;TOTAL;Ambos sexos;90-94 años;2019;5.879
37  Salamanca;TOTAL;Ambos sexos;95-99 años;2019;1.699
37  Salamanca;TOTAL;Ambos sexos;100 años y más;2019;278
38  Santa Cruz de Tenerife;TOTAL;Ambos sexos;70-74 años;2019;43.113
38  Santa Cruz de Tenerife;TOTAL;Ambos sexos;75-79 años;2019;32.463
38  Santa Cruz de Tenerife;TOTAL;Ambos sexos;80-84 años;2019;24.234
38  Santa Cruz de Tenerife;TOTAL;Ambos sexos;85-89 años;2019;15.379
38  Santa Cruz de Tenerife;TOTAL;Ambos sexos;90-94 años;2019;5.615
38  Santa Cruz de Tenerife;TOTAL;Ambos sexos;95-99 años;2019;1.318
38  Santa Cruz de Tenerife;TOTAL;Ambos sexos;100 años y más;2019;424
40  Segovia;TOTAL;Ambos sexos;70-74 años;2019;7.106
40  Segovia;TOTAL;Ambos sexos;75-79 años;2019;5.870
40  Segovia;TOTAL;Ambos sexos;80-84 años;2019;5.830
40  Segovia;TOTAL;Ambos sexos;85-89 años;2019;4.837
40  Segovia;TOTAL;Ambos sexos;90-94 años;2019;2.381
40  Segovia;TOTAL;Ambos sexos;95-99 años;2019;714
40  Segovia;TOTAL;Ambos sexos;100 años y más;2019;93
41  Sevilla;TOTAL;Ambos sexos;70-74 años;2019;81.761
41  Sevilla;TOTAL;Ambos sexos;75-79 años;2019;60.991
41  Sevilla;TOTAL;Ambos sexos;80-84 años;2019;44.861
41  Sevilla;TOTAL;Ambos sexos;85-89 años;2019;29.527
41  Sevilla;TOTAL;Ambos sexos;90-94 años;2019;10.545
41  Sevilla;TOTAL;Ambos sexos;95-99 años;2019;2.409
41  Sevilla;TOTAL;Ambos sexos;100 años y más;2019;562
42  Soria;TOTAL;Ambos sexos;70-74 años;2019;4.384
42  Soria;TOTAL;Ambos sexos;75-79 años;2019;3.849
42  Soria;TOTAL;Ambos sexos;80-84 años;2019;3.788
42  Soria;TOTAL;Ambos sexos;85-89 años;2019;3.376
42  Soria;TOTAL;Ambos sexos;90-94 años;2019;1.741
42  Soria;TOTAL;Ambos sexos;95-99 años;2019;549
42  Soria;TOTAL;Ambos sexos;100 años y más;2019;105
